/home/archer/.local/lib/python3.10/site-packages/gym/envs/registration.py:555: UserWarning: [33mWARN: The environment SuperMarioBros-1-1-v0 is out of date. You should consider upgrading to version `v3`.[0m
  logger.warn(
Training:   0%|                                                                                 | 0/500 [00:00<?, ?it/s]/home/archer/.local/lib/python3.10/site-packages/gym/utils/passive_env_checker.py:195: UserWarning: [33mWARN: The result returned by `env.reset()` was not a tuple of the form `(obs, info)`, where `obs` is a observation and `info` is a dictionary containing additional information. Actual type: `<class 'numpy.ndarray'>`[0m
  logger.warn(
/home/archer/.local/lib/python3.10/site-packages/gym/utils/passive_env_checker.py:272: UserWarning: [33mWARN: No render modes was declared in the environment (env.metadata['render_modes'] is None or not defined), you may have trouble when calling `.render()`.[0m
  logger.warn(
/home/archer/.local/lib/python3.10/site-packages/gym/utils/passive_env_checker.py:219: DeprecationWarning: [33mWARN: Core environment is written in old step API which returns one bool instead of two. It is recommended to rewrite the environment with new step API. [0m
  logger.deprecation(
Episode 1 | Reward: 737.00 | Eps: 0.020
Training:   6%|████▌                                                                   | 32/500 [02:19<28:40,  3.68s/it]
Episode 2 | Reward: 243.00 | Eps: 0.020
Episode 3 | Reward: 232.00 | Eps: 0.020
Episode 4 | Reward: 1334.00 | Eps: 0.020
Episode 5 | Reward: 252.00 | Eps: 0.020
Episode 6 | Reward: 249.00 | Eps: 0.020
Episode 7 | Reward: 580.00 | Eps: 0.020
Episode 8 | Reward: 782.00 | Eps: 0.020
Episode 9 | Reward: 816.00 | Eps: 0.020
Episode 10 | Reward: 620.00 | Eps: 0.020
Episode 11 | Reward: 620.00 | Eps: 0.020
Episode 12 | Reward: 808.00 | Eps: 0.020
Episode 13 | Reward: 247.00 | Eps: 0.020
Episode 14 | Reward: 631.00 | Eps: 0.020
Episode 15 | Reward: 633.00 | Eps: 0.020
Episode 16 | Reward: 1032.00 | Eps: 0.020
Episode 17 | Reward: 1033.00 | Eps: 0.020
Episode 18 | Reward: 629.00 | Eps: 0.020
Episode 19 | Reward: 248.00 | Eps: 0.020
Episode 20 | Reward: 1428.00 | Eps: 0.020
Episode 21 | Reward: 994.00 | Eps: 0.020
Episode 22 | Reward: 1048.00 | Eps: 0.020
Episode 23 | Reward: 699.00 | Eps: 0.020
Episode 24 | Reward: 1039.00 | Eps: 0.020
Episode 25 | Reward: 247.00 | Eps: 0.020
Episode 26 | Reward: 1583.00 | Eps: 0.020
Episode 27 | Reward: 247.00 | Eps: 0.020
Episode 28 | Reward: 608.00 | Eps: 0.020
Episode 29 | Reward: 621.00 | Eps: 0.020
Episode 30 | Reward: 1417.00 | Eps: 0.020
Episode 31 | Reward: 249.00 | Eps: 0.020
Episode 32 | Reward: 1338.00 | Eps: 0.020
Episode 33 | Reward: 248.00 | Eps: 0.020
Episode 34 | Reward: 245.00 | Eps: 0.020
Episode 35 | Reward: 603.00 | Eps: 0.020
Episode 36 | Reward: 635.00 | Eps: 0.020
Episode 37 | Reward: 1041.00 | Eps: 0.020
Episode 38 | Reward: 1049.00 | Eps: 0.020
Episode 39 | Reward: 251.00 | Eps: 0.020
Episode 40 | Reward: 1031.00 | Eps: 0.020
Episode 41 | Reward: 594.00 | Eps: 0.020
Episode 42 | Reward: 1309.00 | Eps: 0.020
Episode 43 | Reward: 626.00 | Eps: 0.020
Episode 44 | Reward: 915.00 | Eps: 0.020
Episode 45 | Reward: 778.00 | Eps: 0.020
Episode 46 | Reward: 241.00 | Eps: 0.020
Episode 47 | Reward: 248.00 | Eps: 0.020
Episode 48 | Reward: 623.00 | Eps: 0.020
Episode 49 | Reward: 248.00 | Eps: 0.020
Episode 50 | Reward: 653.00 | Eps: 0.020
Episode 51 | Reward: 684.00 | Eps: 0.020
Episode 52 | Reward: 1115.00 | Eps: 0.020
Episode 53 | Reward: 1050.00 | Eps: 0.020
Episode 54 | Reward: 614.00 | Eps: 0.020
Episode 55 | Reward: 637.00 | Eps: 0.020
Episode 56 | Reward: 597.00 | Eps: 0.020
Episode 57 | Reward: 964.00 | Eps: 0.020
Episode 58 | Reward: 244.00 | Eps: 0.020
Episode 59 | Reward: 739.00 | Eps: 0.020
Episode 60 | Reward: 1046.00 | Eps: 0.020
Episode 61 | Reward: 1044.00 | Eps: 0.020
Episode 62 | Reward: 249.00 | Eps: 0.020
Episode 63 | Reward: 610.00 | Eps: 0.020
Episode 64 | Reward: 1060.00 | Eps: 0.020
Episode 65 | Reward: 602.00 | Eps: 0.020
Episode 66 | Reward: 655.00 | Eps: 0.020
Episode 67 | Reward: 612.00 | Eps: 0.020
Episode 68 | Reward: 595.00 | Eps: 0.020
Episode 69 | Reward: 576.00 | Eps: 0.020
Episode 70 | Reward: 252.00 | Eps: 0.020
Episode 71 | Reward: 1025.00 | Eps: 0.020
Episode 72 | Reward: 772.00 | Eps: 0.020
Episode 73 | Reward: 617.00 | Eps: 0.020
Episode 74 | Reward: 611.00 | Eps: 0.020
Episode 75 | Reward: 615.00 | Eps: 0.020
Episode 76 | Reward: 790.00 | Eps: 0.020
Episode 77 | Reward: 239.00 | Eps: 0.020
Episode 78 | Reward: 1302.00 | Eps: 0.020
Episode 79 | Reward: 247.00 | Eps: 0.020
Episode 80 | Reward: 247.00 | Eps: 0.020
Episode 81 | Reward: 618.00 | Eps: 0.020
